wall_time_s,iso_time,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.088204,2026-02-24T09:20:11.297,1,to_target,0.000000,-2.380000,0.010000,10.000000
0.588798,2026-02-24T09:20:11.798,1,to_target,0.010031,-2.320000,0.010000,10.000000
1.089347,2026-02-24T09:20:12.298,1,to_target,0.009992,-2.440000,0.010000,10.000000
1.590059,2026-02-24T09:20:12.799,1,to_origin,-0.000039,-2.380000,0.010000,10.000000
2.090489,2026-02-24T09:20:13.299,1,to_origin,0.000000,-2.320000,0.010000,10.000000
2.591677,2026-02-24T09:20:13.800,1,to_origin,0.000000,-2.320000,0.010000,10.000000
3.091752,2026-02-24T09:20:14.301,2,to_target,0.009992,-2.250000,0.010000,10.000000
3.592175,2026-02-24T09:20:14.801,2,to_target,0.009992,-2.250000,0.010000,10.000000
4.092577,2026-02-24T09:20:15.301,2,to_target,0.009992,-2.320000,0.010000,10.000000
4.592839,2026-02-24T09:20:15.802,2,to_origin,0.000000,-2.380000,0.010000,10.000000
5.093703,2026-02-24T09:20:16.302,2,to_origin,0.000000,-2.380000,0.010000,10.000000
5.593772,2026-02-24T09:20:16.803,2,to_origin,0.000000,-2.320000,0.010000,10.000000
6.094450,2026-02-24T09:20:17.304,3,to_target,0.010031,-2.380000,0.010000,10.000000
6.595159,2026-02-24T09:20:17.804,3,to_target,0.009992,-2.380000,0.010000,10.000000
7.096527,2026-02-24T09:20:18.305,3,to_target,0.009992,-2.320000,0.010000,10.000000
7.597090,2026-02-24T09:20:18.805,3,to_origin,0.000000,-2.380000,0.010000,10.000000
8.097871,2026-02-24T09:20:19.306,3,to_origin,0.000000,-2.320000,0.010000,10.000000
8.599546,2026-02-24T09:20:19.807,3,to_origin,0.000000,-2.380000,0.010000,10.000000
