wall_time_s,iso_time,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.167011,2026-02-24T09:20:36.751,1,to_target,0.000000,-2.320000,10.000000,1.000000
0.667578,2026-02-24T09:20:37.251,1,to_target,0.427160,-2.320000,10.000000,1.000000
1.168211,2026-02-24T09:20:37.752,1,to_target,0.927199,-2.380000,10.000000,1.000000
1.668888,2026-02-24T09:20:38.253,1,to_target,1.427160,-2.320000,10.000000,1.000000
2.169298,2026-02-24T09:20:38.753,1,to_target,1.927199,-2.440000,10.000000,1.000000
2.669992,2026-02-24T09:20:39.254,1,to_target,2.427238,-2.380000,10.000000,1.000000
3.170631,2026-02-24T09:20:39.754,1,to_target,2.927199,-2.380000,10.000000,1.000000
3.671235,2026-02-24T09:20:40.255,1,to_target,3.427199,-2.380000,10.000000,1.000000
4.171847,2026-02-24T09:20:40.756,1,to_target,3.927160,-2.380000,10.000000,1.000000
4.672591,2026-02-24T09:20:41.256,1,to_target,4.427160,-2.380000,10.000000,1.000000
5.173056,2026-02-24T09:20:41.757,1,to_target,4.927122,-2.250000,10.000000,1.000000
5.673361,2026-02-24T09:20:42.257,1,to_target,5.427199,-2.250000,10.000000,1.000000
6.173979,2026-02-24T09:20:42.758,1,to_target,5.927160,-2.320000,10.000000,1.000000
6.674370,2026-02-24T09:20:43.258,1,to_target,6.427199,-2.440000,10.000000,1.000000
7.174972,2026-02-24T09:20:43.759,1,to_target,6.927238,-2.320000,10.000000,1.000000
7.675750,2026-02-24T09:20:44.259,1,to_target,7.427199,-2.380000,10.000000,1.000000
8.176490,2026-02-24T09:20:44.760,1,to_target,7.927199,-2.320000,10.000000,1.000000
8.676666,2026-02-24T09:20:45.261,1,to_target,8.427160,-2.320000,10.000000,1.000000
9.177234,2026-02-24T09:20:45.761,1,to_target,8.927199,-2.250000,10.000000,1.000000
9.677553,2026-02-24T09:20:46.261,1,to_target,9.427199,-2.440000,10.000000,1.000000
10.178461,2026-02-24T09:20:46.762,1,to_target,9.927199,-2.320000,10.000000,1.000000
10.678816,2026-02-24T09:20:47.263,1,to_target,10.000000,-2.320000,10.000000,1.000000
11.179070,2026-02-24T09:20:47.763,1,to_target,10.000000,-2.380000,10.000000,1.000000
11.679559,2026-02-24T09:20:48.263,1,to_origin,9.732755,-2.320000,10.000000,1.000000
12.180062,2026-02-24T09:20:48.764,1,to_origin,9.232755,-2.380000,10.000000,1.000000
12.680431,2026-02-24T09:20:49.264,1,to_origin,8.732793,-2.380000,10.000000,1.000000
13.181094,2026-02-24T09:20:49.765,1,to_origin,8.232793,-2.380000,10.000000,1.000000
13.681397,2026-02-24T09:20:50.265,1,to_origin,7.732793,-2.380000,10.000000,1.000000
14.181945,2026-02-24T09:20:50.766,1,to_origin,7.232677,-2.380000,10.000000,1.000000
14.682712,2026-02-24T09:20:51.266,1,to_origin,6.732793,-2.500000,10.000000,1.000000
15.182687,2026-02-24T09:20:51.766,1,to_origin,6.232716,-2.380000,10.000000,1.000000
15.683288,2026-02-24T09:20:52.267,1,to_origin,5.732793,-2.440000,10.000000,1.000000
16.184001,2026-02-24T09:20:52.768,1,to_origin,5.232793,-2.380000,10.000000,1.000000
16.684390,2026-02-24T09:20:53.268,1,to_origin,4.732793,-2.320000,10.000000,1.000000
17.184941,2026-02-24T09:20:53.769,1,to_origin,4.232755,-2.380000,10.000000,1.000000
17.685501,2026-02-24T09:20:54.269,1,to_origin,3.732716,-2.250000,10.000000,1.000000
18.186019,2026-02-24T09:20:54.770,1,to_origin,3.232793,-2.440000,10.000000,1.000000
18.686538,2026-02-24T09:20:55.270,1,to_origin,2.732716,-2.320000,10.000000,1.000000
19.187141,2026-02-24T09:20:55.771,1,to_origin,2.232793,-2.320000,10.000000,1.000000
19.687800,2026-02-24T09:20:56.272,1,to_origin,1.732755,-2.440000,10.000000,1.000000
20.188354,2026-02-24T09:20:56.772,1,to_origin,1.232793,-2.380000,10.000000,1.000000
20.689027,2026-02-24T09:20:57.273,1,to_origin,0.732793,-2.380000,10.000000,1.000000
21.189933,2026-02-24T09:20:57.774,1,to_origin,0.232793,-2.320000,10.000000,1.000000
21.690258,2026-02-24T09:20:58.274,1,to_origin,0.000000,-2.500000,10.000000,1.000000
22.190953,2026-02-24T09:20:58.775,1,to_origin,0.000000,-2.380000,10.000000,1.000000
22.691715,2026-02-24T09:20:59.275,1,to_origin,0.000000,-2.250000,10.000000,1.000000
23.192280,2026-02-24T09:20:59.776,2,to_target,0.267168,-2.250000,10.000000,1.000000
23.692771,2026-02-24T09:21:00.277,2,to_target,0.767207,-2.250000,10.000000,1.000000
24.193337,2026-02-24T09:21:00.777,2,to_target,1.267168,-2.440000,10.000000,1.000000
24.693889,2026-02-24T09:21:01.278,2,to_target,1.767168,-2.380000,10.000000,1.000000
25.194190,2026-02-24T09:21:01.778,2,to_target,2.267168,-2.380000,10.000000,1.000000
25.694856,2026-02-24T09:21:02.279,2,to_target,2.767168,-2.380000,10.000000,1.000000
26.195173,2026-02-24T09:21:02.779,2,to_target,3.267207,-2.320000,10.000000,1.000000
26.695694,2026-02-24T09:21:03.279,2,to_target,3.767207,-2.320000,10.000000,1.000000
27.196378,2026-02-24T09:21:03.780,2,to_target,4.267207,-2.500000,10.000000,1.000000
27.697345,2026-02-24T09:21:04.281,2,to_target,4.767207,-2.440000,10.000000,1.000000
28.197897,2026-02-24T09:21:04.782,2,to_target,5.267207,-2.440000,10.000000,1.000000
28.698633,2026-02-24T09:21:05.282,2,to_target,5.767130,-2.440000,10.000000,1.000000
29.199606,2026-02-24T09:21:05.783,2,to_target,6.267207,-2.380000,10.000000,1.000000
29.699770,2026-02-24T09:21:06.283,2,to_target,6.787191,-2.320000,10.000000,1.000000
30.200433,2026-02-24T09:21:06.784,2,to_target,7.287191,-2.250000,10.000000,1.000000
