wall_time_s,iso_time,cycle_idx,phase,position_mm,force_n,target_position_mm,speed_mm_s
0.061618,2026-02-13T17:40:22.927,1,to_target,0.000000,0.100000,3.000000,1.000000
0.562324,2026-02-13T17:40:23.428,1,to_target,0.327199,0.230000,3.000000,1.000000
1.062929,2026-02-13T17:40:23.929,1,to_target,0.827199,0.100000,3.000000,1.000000
1.564111,2026-02-13T17:40:24.429,1,to_target,1.327160,0.170000,3.000000,1.000000
2.065273,2026-02-13T17:40:24.930,1,to_target,1.827238,0.170000,3.000000,1.000000
2.565233,2026-02-13T17:40:25.431,1,to_target,2.327199,0.230000,3.000000,1.000000
3.066749,2026-02-13T17:40:25.931,1,to_target,2.827199,0.230000,3.000000,1.000000
3.568143,2026-02-13T17:40:26.432,1,to_target,3.000000,0.230000,3.000000,1.000000
4.069092,2026-02-13T17:40:26.934,1,to_target,3.000000,0.170000,3.000000,1.000000
4.570363,2026-02-13T17:40:27.436,1,to_target,3.000000,0.170000,3.000000,1.000000
5.070419,2026-02-13T17:40:27.936,1,to_origin,2.733835,0.170000,3.000000,1.000000
5.571686,2026-02-13T17:40:28.437,1,to_origin,2.233796,0.170000,3.000000,1.000000
6.072806,2026-02-13T17:40:28.938,1,to_origin,1.733796,0.170000,3.000000,1.000000
6.573895,2026-02-13T17:40:29.439,1,to_origin,1.233758,0.040000,3.000000,1.000000
7.075025,2026-02-13T17:40:29.940,1,to_origin,0.713773,0.040000,3.000000,1.000000
7.575836,2026-02-13T17:40:30.441,1,to_origin,0.213773,0.100000,3.000000,1.000000
8.076632,2026-02-13T17:40:30.942,1,to_origin,0.000000,0.040000,3.000000,1.000000
8.577428,2026-02-13T17:40:31.443,1,to_origin,0.000000,0.170000,3.000000,1.000000
9.078559,2026-02-13T17:40:31.944,1,to_origin,0.000000,0.170000,3.000000,1.000000
9.580878,2026-02-13T17:40:32.446,2,to_target,0.266165,0.100000,3.000000,1.000000
10.080188,2026-02-13T17:40:32.945,2,to_target,0.766204,0.170000,3.000000,1.000000
10.581584,2026-02-13T17:40:33.446,2,to_target,1.266242,0.040000,3.000000,1.000000
11.082209,2026-02-13T17:40:33.948,2,to_target,1.766204,0.100000,3.000000,1.000000
11.583442,2026-02-13T17:40:34.448,2,to_target,2.266204,0.230000,3.000000,1.000000
12.084245,2026-02-13T17:40:34.949,2,to_target,2.766204,0.290000,3.000000,1.000000
12.584889,2026-02-13T17:40:35.450,2,to_target,3.000000,0.230000,3.000000,1.000000
13.085427,2026-02-13T17:40:35.951,2,to_target,3.000000,0.170000,3.000000,1.000000
13.587318,2026-02-13T17:40:36.452,2,to_target,3.000000,0.170000,3.000000,1.000000
14.088610,2026-02-13T17:40:36.953,2,to_origin,2.732793,0.170000,3.000000,1.000000
14.589553,2026-02-13T17:40:37.454,2,to_origin,2.232755,0.230000,3.000000,1.000000
15.090567,2026-02-13T17:40:37.955,2,to_origin,1.732793,0.170000,3.000000,1.000000
15.591065,2026-02-13T17:40:38.456,2,to_origin,1.232793,0.230000,3.000000,1.000000
16.092948,2026-02-13T17:40:38.957,2,to_origin,0.732793,-0.020000,3.000000,1.000000
16.595326,2026-02-13T17:40:39.459,2,to_origin,0.232716,0.170000,3.000000,1.000000
17.095699,2026-02-13T17:40:39.962,2,to_origin,0.000000,0.100000,3.000000,1.000000
17.596000,2026-02-13T17:40:40.462,2,to_origin,0.000000,0.170000,3.000000,1.000000
18.097454,2026-02-13T17:40:40.962,2,to_origin,0.000000,0.230000,3.000000,1.000000
18.598380,2026-02-13T17:40:41.463,3,to_target,0.266242,0.100000,3.000000,1.000000
19.100102,2026-02-13T17:40:41.965,3,to_target,0.766204,0.040000,3.000000,1.000000
19.600810,2026-02-13T17:40:42.466,3,to_target,1.266204,0.100000,3.000000,1.000000
20.101935,2026-02-13T17:40:42.967,3,to_target,1.766204,0.230000,3.000000,1.000000
20.602484,2026-02-13T17:40:43.468,3,to_target,2.266204,0.100000,3.000000,1.000000
21.103432,2026-02-13T17:40:43.969,3,to_target,2.766204,0.170000,3.000000,1.000000
21.604191,2026-02-13T17:40:44.470,3,to_target,3.000000,0.040000,3.000000,1.000000
22.105266,2026-02-13T17:40:44.970,3,to_target,3.000077,0.230000,3.000000,1.000000
22.606027,2026-02-13T17:40:45.471,3,to_target,3.000000,0.100000,3.000000,1.000000
23.107901,2026-02-13T17:40:45.973,3,to_origin,2.732793,0.170000,3.000000,1.000000
23.609371,2026-02-13T17:40:46.474,3,to_origin,2.232793,0.040000,3.000000,1.000000
24.110223,2026-02-13T17:40:46.975,3,to_origin,1.732793,0.040000,3.000000,1.000000
24.611877,2026-02-13T17:40:47.477,3,to_origin,1.232793,0.100000,3.000000,1.000000
25.113049,2026-02-13T17:40:47.978,3,to_origin,0.732832,0.040000,3.000000,1.000000
25.614307,2026-02-13T17:40:48.479,3,to_origin,0.232755,0.170000,3.000000,1.000000
26.116653,2026-02-13T17:40:48.981,3,to_origin,0.000000,0.040000,3.000000,1.000000
26.616009,2026-02-13T17:40:49.482,3,to_origin,0.000000,0.170000,3.000000,1.000000
27.116811,2026-02-13T17:40:49.982,3,to_origin,0.000000,0.100000,3.000000,1.000000
