wall_time_s,iso_time,r_ch1_ohm,r_ch2_ohm,r_ch3_ohm,r_ch4_ohm
0.000001,2026-02-12T16:10:49.130,2.129451510,,5.232649330,
2.827685,2026-02-12T16:10:51.958,2.137595420,,5.202149390,
5.899628,2026-02-12T16:10:55.030,2.141211030,,5.088466170,
8.968799,2026-02-12T16:10:58.098,2.144202950,,4.924353600,
12.034678,2026-02-12T16:11:01.165,2.142629380,,4.795341970,
15.103783,2026-02-12T16:11:04.232,2.141053200,,4.692331790,
18.187495,2026-02-12T16:11:07.315,2.142800810,,4.625018120,
